COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
203,Odontologia,Graduação,2014,M,22.0,11.0
203,Odontologia,Graduação,2014,F,58.0,49.0
203,Odontologia,Graduação,2015,M,18.0,24.0
203,Odontologia,Graduação,2015,F,57.0,37.0
203,Odontologia,Graduação,2016,M,24.0,24.0
203,Odontologia,Graduação,2016,F,55.0,39.0
203,Odontologia,Graduação,2017,M,26.0,25.0
203,Odontologia,Graduação,2017,F,50.0,52.0
203,Odontologia,Graduação,2018,M,33.0,19.0
203,Odontologia,Graduação,2018,F,57.0,40.0
203,Odontologia,Graduação,2019,M,25.0,16.0
203,Odontologia,Graduação,2019,F,46.0,53.0
203,Odontologia,Graduação,2020,M,21.0,7.0
203,Odontologia,Graduação,2020,F,59.0,20.0
203,Odontologia,Graduação,2021,M,25.0,17.0
203,Odontologia,Graduação,2021,F,52.0,36.0
203,Odontologia,Graduação,2022,M,28.0,9.0
203,Odontologia,Graduação,2022,F,50.0,22.0
203,Odontologia,Graduação,2023,M,20.0,19.0
203,Odontologia,Graduação,2023,F,54.0,47.0
203,Odontologia,Graduação,TOTAL,M,242.0,171.0
203,Odontologia,Graduação,TOTAL,F,538.0,395.0
212,Terapia Ocupacional,Graduação,2014,M,6.0,1.0
212,Terapia Ocupacional,Graduação,2014,F,72.0,35.0
212,Terapia Ocupacional,Graduação,2015,M,7.0,3.0
212,Terapia Ocupacional,Graduação,2015,F,63.0,40.0
212,Terapia Ocupacional,Graduação,2016,M,5.0,3.0
212,Terapia Ocupacional,Graduação,2016,F,68.0,53.0
212,Terapia Ocupacional,Graduação,2017,M,13.0,5.0
212,Terapia Ocupacional,Graduação,2017,F,61.0,64.0
212,Terapia Ocupacional,Graduação,2018,M,5.0,4.0
212,Terapia Ocupacional,Graduação,2018,F,71.0,43.0
212,Terapia Ocupacional,Graduação,2019,M,7.0,6.0
212,Terapia Ocupacional,Graduação,2019,F,73.0,43.0
212,Terapia Ocupacional,Graduação,2020,M,6.0,1.0
212,Terapia Ocupacional,Graduação,2020,F,73.0,12.0
212,Terapia Ocupacional,Graduação,2021,M,2.0,0.0
212,Terapia Ocupacional,Graduação,2021,F,68.0,23.0
212,Terapia Ocupacional,Graduação,2022,M,4.0,2.0
212,Terapia Ocupacional,Graduação,2022,F,33.0,48.0
212,Terapia Ocupacional,Graduação,2023,M,4.0,0.0
212,Terapia Ocupacional,Graduação,2023,F,38.0,35.0
