Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2021,1. Semestre,D888148,CC1,Aprovado,68,13,C320402855200,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,CC1,CancMatric,11,2,C320402855200,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,CC1,Reprovado,21,4,C320402855200,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,CC2,Aprovado,72,13,C380148200685,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,CC2,CancMatric,11,2,C380148200685,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,CC2,Reprovado,17,3,C380148200685,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888148,SI1,Aprovado,20,1,C320402855200,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888148,SI1,Reprovado,80,4,C320402855200,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888148,SI2,Aprovado,20,1,C380148200685,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888148,SI2,Reprovado,80,4,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,10,Aprovado,48,12,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,10,CancMatric,4,1,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,10,Dispensado,4,1,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,10,Não Concl.,4,1,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,10,Reprovado,40,10,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,11,Aprovado,67,2,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,11,Reprovado,33,1,C380148380200,304,Engenharia Mecânica
2021,2. Semestre,D888148,CC1,Aprovado,40,2,C380148200685,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888148,CC1,Reprovado,60,3,C380148200685,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888148,CC2,Aprovado,20,1,C218200683888,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888148,CC2,Reprovado,80,4,C218200683888,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888148,SI1,Reprovado,36,8,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI1,Aprovado,41,9,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI1,CancMatric,9,2,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI1,Dispensado,9,2,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI1,Não Concl.,5,1,C380148200685,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI2,Aprovado,56,10,C218200683888,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI2,CancMatric,6,1,C218200683888,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI2,Dispensado,6,1,C218200683888,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888148,SI2,Reprovado,33,6,C218200683888,314,Bacharelado em Sistemas de Informação
