COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
639.EAD.09,Educação Especial - Licenciatura/PARFOR/Distância/Balneário Pinhal/RS,Graduação,2015,M,0,1
639.EAD.09,Educação Especial - Licenciatura/PARFOR/Distância/Balneário Pinhal/RS,Graduação,2015,F,0,2
639.EAD.09,Educação Especial - Licenciatura/PARFOR/Distância/Balneário Pinhal/RS,Graduação,TOTAL,M,0,1
639.EAD.09,Educação Especial - Licenciatura/PARFOR/Distância/Balneário Pinhal/RS,Graduação,TOTAL,F,0,2
639.EAD.10,Educação Especial - Licenciatura/PARFOR/Distância/Novo Hamburgo/RS,Graduação,2015,F,0,3
639.EAD.10,Educação Especial - Licenciatura/PARFOR/Distância/Novo Hamburgo/RS,Graduação,2017,F,0,1
639.EAD.10,Educação Especial - Licenciatura/PARFOR/Distância/Novo Hamburgo/RS,Graduação,TOTAL,F,0,4
639.EAD.11,Educação Especial - Licenciatura/PARFOR/Distância/Santa Vitória do Palmar/RS,Graduação,2015,F,0,11
639.EAD.11,Educação Especial - Licenciatura/PARFOR/Distância/Santa Vitória do Palmar/RS,Graduação,TOTAL,F,0,11
641.EAD.06,Licenciatura em Ciências da Religião/EAD/Bagé/RS,Graduação,2022,M,7,0
641.EAD.06,Licenciatura em Ciências da Religião/EAD/Bagé/RS,Graduação,2022,F,13,0
641.EAD.06,Licenciatura em Ciências da Religião/EAD/Bagé/RS,Graduação,TOTAL,M,7,0
641.EAD.06,Licenciatura em Ciências da Religião/EAD/Bagé/RS,Graduação,TOTAL,F,13,0
641.EAD.07,Licenciatura em Ciências da Religião/EAD/Balneário Pinhal/RS,Graduação,2022,M,5,0
641.EAD.07,Licenciatura em Ciências da Religião/EAD/Balneário Pinhal/RS,Graduação,2022,F,18,0
641.EAD.07,Licenciatura em Ciências da Religião/EAD/Balneário Pinhal/RS,Graduação,TOTAL,M,5,0
641.EAD.07,Licenciatura em Ciências da Religião/EAD/Balneário Pinhal/RS,Graduação,TOTAL,F,18,0
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2017,M,9,0
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2017,F,21,0
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2018,M,2,0
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2018,F,4,0
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2020,M,0,1
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2020,F,0,9
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2021,F,0,1
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,2021,M,0,2
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,TOTAL,M,11,3
641.EAD.03,Licenciatura em Ciências da Religião/EAD/Cacequi/RS,Graduação,TOTAL,F,25,10
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2017,M,1,0
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2017,F,4,0
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2018,M,2,0
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2018,F,7,0
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2020,F,0,2
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,2021,F,0,3
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,TOTAL,M,3,0
641.EAD.05,Licenciatura em Ciências da Religião/EAD/Constantina/RS,Graduação,TOTAL,F,11,5
641.EAD.08,Licenciatura em Ciências da Religião/EAD/Cruz Alta/RS,Graduação,2022,M,12,0
641.EAD.08,Licenciatura em Ciências da Religião/EAD/Cruz Alta/RS,Graduação,2022,F,13,0
641.EAD.08,Licenciatura em Ciências da Religião/EAD/Cruz Alta/RS,Graduação,TOTAL,M,12,0
641.EAD.08,Licenciatura em Ciências da Religião/EAD/Cruz Alta/RS,Graduação,TOTAL,F,13,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2017,M,13,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2017,F,15,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2018,M,2,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2018,F,5,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2020,M,0,6
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2020,F,0,12
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2021,M,0,2
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2021,F,0,3
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2022,M,4,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,2022,F,12,0
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,TOTAL,M,19,8
641.EAD.01,Licenciatura em Ciências da Religião/EAD/Quaraí/RS,Graduação,TOTAL,F,32,15
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2017,M,7,0
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2017,F,16,0
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2018,F,4,0
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2018,M,6,0
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2020,F,0,1
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2020,M,0,3
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2021,F,0,1
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,2021,M,0,2
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,TOTAL,F,20,2
641.EAD.04,Licenciatura em Ciências da Religião/EAD/São Francisco de Paula/RS,Graduação,TOTAL,M,13,5
641.EAD.02,Licenciatura em Ciências da Religião/EAD/São João do Polêsine/RS,Graduação,2017,M,11,0
641.EAD.02,Licenciatura em Ciências da Religião/EAD/São João do Polêsine/RS,Graduação,2017,F,15,0
641.EAD.02,Licenciatura em Ciências da Religião/EAD/São João do Polêsine/RS,Graduação,2018,M,4,0
