COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
726,Artes Cênicas - Interpretação Teatral,Graduação,TOTAL,F,72.0,52.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2014,M,22.0,7.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2014,F,29.0,17.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2015,M,15.0,9.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2015,F,19.0,10.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2016,M,14.0,4.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2016,F,30.0,11.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2017,M,10.0,7.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2017,F,22.0,7.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2018,M,10.0,10.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2018,F,24.0,16.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2019,M,12.0,11.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2019,F,20.0,14.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2020,M,17.0,0.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2020,F,22.0,9.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2021,M,6.0,4.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2021,F,27.0,11.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2022,M,12.0,8.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2022,F,20.0,8.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2023,M,16.0,3.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,2023,F,28.0,14.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,TOTAL,M,134.0,63.0,CAL
727,Artes Visuais - Bacharelado em Desenho e Plástica,Graduação,TOTAL,F,241.0,117.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2014,M,9.0,2.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2014,F,15.0,7.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2015,M,6.0,2.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2015,F,11.0,6.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2016,M,10.0,1.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2016,F,17.0,8.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2017,M,5.0,3.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2017,F,11.0,7.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2018,M,8.0,3.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2018,F,11.0,7.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2019,M,4.0,4.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2019,F,14.0,5.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2020,M,4.0,1.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2020,F,15.0,4.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2021,M,5.0,0.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2021,F,13.0,13.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2022,M,7.0,1.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2022,F,11.0,2.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2023,M,6.0,3.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,2023,F,9.0,11.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,TOTAL,M,64.0,20.0,CAL
728,Artes Visuais - Licenciatura Plena em Desenho e Plástica,Graduação,TOTAL,F,127.0,70.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2014,M,9.0,0.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2014,F,24.0,3.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2015,M,16.0,1.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2015,F,38.0,4.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2016,M,28.0,1.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2016,F,52.0,2.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2017,M,16.0,2.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2017,F,40.0,5.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2018,M,7.0,3.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2018,F,25.0,10.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2019,M,17.0,3.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2019,F,46.0,11.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2020,M,15.0,0.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2020,F,46.0,2.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2021,M,9.0,1.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2021,F,40.0,7.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2022,M,9.0,1.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2022,F,29.0,9.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2023,M,16.0,2.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,2023,F,29.0,7.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,TOTAL,M,142.0,14.0,CAL
757,Bacharelado em Letras-Português/Literaturas,Graduação,TOTAL,F,369.0,60.0,CAL
762,Dança - Bacharelado,Graduação,2014,M,1.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2014,F,14.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2015,M,2.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2015,F,11.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2016,M,6.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2016,F,12.0,3.0,CAL
