COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
128,Ciências Biológicas - Núcleo Comum,Graduação,2023,M,16.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2023,F,28.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,TOTAL,M,166.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,TOTAL,F,331.0,0.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2014,M,17.0,3.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2014,F,16.0,4.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2015,F,23.0,2.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2015,M,31.0,2.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2016,F,18.0,3.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2016,M,20.0,4.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2017,F,22.0,3.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2017,M,33.0,3.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2018,M,25.0,2.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2018,F,18.0,7.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2019,F,14.0,2.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2019,M,23.0,2.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2020,M,25.0,1.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2020,F,12.0,7.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2021,F,7.0,4.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2021,M,25.0,8.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2022,F,9.0,4.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2022,M,24.0,6.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2023,F,11.0,5.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,2023,M,25.0,5.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,TOTAL,M,248.0,36.0,CCNE
139,Curso de Bacharelado em Estatística - Noturno,Graduação,TOTAL,F,150.0,41.0,CCNE
144,Curso de Estatística,Graduação,2020,M,1.0,0.0,CCNE
144,Curso de Estatística,Graduação,2021,M,1.0,0.0,CCNE
144,Curso de Estatística,Graduação,2023,M,3.0,0.0,CCNE
144,Curso de Estatística,Graduação,2023,F,4.0,0.0,CCNE
144,Curso de Estatística,Graduação,TOTAL,F,4.0,0.0,CCNE
144,Curso de Estatística,Graduação,TOTAL,M,5.0,0.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2014,M,9.0,0.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2014,F,15.0,0.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2015,M,14.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2015,F,26.0,9.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2016,M,15.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2016,F,34.0,4.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2017,M,17.0,2.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2017,F,25.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2018,M,16.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2018,F,26.0,12.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2019,M,18.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2019,F,22.0,7.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2020,M,15.0,4.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2020,F,30.0,6.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2021,M,12.0,0.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2021,F,31.0,1.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2022,M,14.0,6.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2022,F,21.0,8.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2023,M,9.0,3.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,2023,F,17.0,6.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,TOTAL,M,139.0,27.0,CCNE
141,Curso Superior de Tecnologia em Processos Químicos,Graduação,TOTAL,F,247.0,56.0,CCNE
123,Física - Bacharelado,Graduação,2014,F,6.0,0.0,CCNE
123,Física - Bacharelado,Graduação,2014,M,25.0,2.0,CCNE
123,Física - Bacharelado,Graduação,2015,F,7.0,3.0,CCNE
123,Física - Bacharelado,Graduação,2015,M,18.0,6.0,CCNE
123,Física - Bacharelado,Graduação,2016,F,9.0,6.0,CCNE
123,Física - Bacharelado,Graduação,2016,M,17.0,8.0,CCNE
123,Física - Bacharelado,Graduação,2017,M,25.0,1.0,CCNE
123,Física - Bacharelado,Graduação,2017,F,6.0,2.0,CCNE
123,Física - Bacharelado,Graduação,2018,F,10.0,1.0,CCNE
123,Física - Bacharelado,Graduação,2018,M,20.0,11.0,CCNE
123,Física - Bacharelado,Graduação,2019,F,4.0,0.0,CCNE
123,Física - Bacharelado,Graduação,2019,M,18.0,6.0,CCNE
123,Física - Bacharelado,Graduação,2020,F,4.0,2.0,CCNE
123,Física - Bacharelado,Graduação,2020,M,24.0,3.0,CCNE
123,Física - Bacharelado,Graduação,2021,F,5.0,2.0,CCNE
123,Física - Bacharelado,Graduação,2021,M,21.0,13.0,CCNE
123,Física - Bacharelado,Graduação,2022,F,4.0,4.0,CCNE
123,Física - Bacharelado,Graduação,2022,M,18.0,6.0,CCNE
123,Física - Bacharelado,Graduação,2023,F,5.0,1.0,CCNE
123,Física - Bacharelado,Graduação,2023,M,16.0,1.0,CCNE
123,Física - Bacharelado,Graduação,TOTAL,F,60.0,21.0,CCNE
123,Física - Bacharelado,Graduação,TOTAL,M,202.0,57.0,CCNE
102,Física - Licenciatura Plena,Graduação,2014,M,7.0,2.0,CCNE
102,Física - Licenciatura Plena,Graduação,2014,F,10.0,3.0,CCNE
102,Física - Licenciatura Plena,Graduação,2015,F,8.0,2.0,CCNE
102,Física - Licenciatura Plena,Graduação,2015,M,18.0,3.0,CCNE
102,Física - Licenciatura Plena,Graduação,2016,M,24.0,0.0,CCNE
102,Física - Licenciatura Plena,Graduação,2016,F,10.0,2.0,CCNE
102,Física - Licenciatura Plena,Graduação,2017,F,8.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2017,M,16.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2018,M,24.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2018,F,10.0,2.0,CCNE
102,Física - Licenciatura Plena,Graduação,2019,F,10.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2019,M,18.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2020,M,10.0,0.0,CCNE
102,Física - Licenciatura Plena,Graduação,2020,F,16.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2021,F,6.0,1.0,CCNE
102,Física - Licenciatura Plena,Graduação,2021,M,18.0,5.0,CCNE
102,Física - Licenciatura Plena,Graduação,2022,F,11.0,2.0,CCNE
102,Física - Licenciatura Plena,Graduação,2022,M,11.0,7.0,CCNE
102,Física - Licenciatura Plena,Graduação,2023,F,8.0,3.0,CCNE
