COD_CURSO,NOME_UNIDADE,ANO,CENTRO,INGRESSANTES_M,INGRESSANTES_F,FORMADOS_M,FORMADOS_F,TOTAL_FORMADOS,TOTAL_INGRESSANTES,INGRESSANTES_M%,INGRESSANTES_F%,FORMADOS_M%,FORMADOS_F%
131,Meteorologia - Bacharelado,2020,CCNE,1,3,14,14.0,28,4,0.25,0.75,0.5,0.5
131,Meteorologia - Bacharelado,2021,CCNE,1,2,5,12.0,17,3,0.3333333333333333,0.6666666666666666,0.29411764705882354,0.7058823529411765
131,Meteorologia - Bacharelado,2022,CCNE,1,1,12,11.0,23,2,0.5,0.5,0.5217391304347826,0.4782608695652174
131,Meteorologia - Bacharelado,2023,CCNE,2,6,10,5.0,15,8,0.25,0.75,0.6666666666666666,0.3333333333333333
131,Meteorologia - Bacharelado,TOTAL,CCNE,24,30,91,118.0,209,54,0.4444444444444444,0.5555555555555556,0.4354066985645933,0.5645933014354066
132.1,Matemática - Licenciatura Plena,2014,CCNE,5,2,19,8.0,27,7,0.7142857142857143,0.2857142857142857,0.7037037037037037,0.2962962962962963
132.1,Matemática - Licenciatura Plena,2015,CCNE,9,3,16,13.0,29,12,0.75,0.25,0.5517241379310345,0.4482758620689655
132.1,Matemática - Licenciatura Plena,2016,CCNE,6,3,19,21.0,40,9,0.6666666666666666,0.3333333333333333,0.475,0.525
132.1,Matemática - Licenciatura Plena,2017,CCNE,7,3,17,18.0,35,10,0.7,0.3,0.4857142857142857,0.5142857142857142
132.1,Matemática - Licenciatura Plena,2018,CCNE,4,1,24,25.0,49,5,0.8,0.2,0.4897959183673469,0.5102040816326531
132.1,Matemática - Licenciatura Plena,2019,CCNE,8,4,23,20.0,43,12,0.6666666666666666,0.3333333333333333,0.5348837209302325,0.46511627906976744
132.1,Matemática - Licenciatura Plena,2020,CCNE,1,0,18,23.0,41,1,1.0,0.0,0.43902439024390244,0.5609756097560976
132.1,Matemática - Licenciatura Plena,2021,CCNE,6,4,13,17.0,30,10,0.6,0.4,0.43333333333333335,0.5666666666666667
132.1,Matemática - Licenciatura Plena,2022,CCNE,4,4,9,7.0,16,8,0.5,0.5,0.5625,0.4375
132.1,Matemática - Licenciatura Plena,2023,CCNE,8,4,16,13.0,29,12,0.6666666666666666,0.3333333333333333,0.5517241379310345,0.4482758620689655
132.1,Matemática - Licenciatura Plena,TOTAL,CCNE,58,28,174,165.0,339,86,0.6744186046511628,0.32558139534883723,0.5132743362831859,0.48672566371681414
132.2,Matemática - Bacharelado,2014,CCNE,0,1,6,6.0,12,1,0.0,1.0,0.5,0.5
132.2,Matemática - Bacharelado,2015,CCNE,1,2,9,16.0,25,3,0.3333333333333333,0.6666666666666666,0.36,0.64
132.2,Matemática - Bacharelado,2016,CCNE,0,1,11,7.0,18,1,0.0,1.0,0.6111111111111112,0.3888888888888889
