Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos
2021,1. Semestre,D320200,10,B461200642855,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B461200642855,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
2021,1. Semestre,D320200,10,B512402380642,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B512402380642,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
2021,1. Semestre,D320200,10,B888642512642,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B888642512642,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
2021,1. Semestre,D320200,11,B200380461148,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,11,B292200218320,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,11,B320888200683,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,11,B461200642855,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,11,B512402380642,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,11,B888642512642,312,Curso de Engenharia de Computação,5,0,0,1,0,17,1,24
2021,1. Semestre,D320200,12,B200380461148,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,12,B292200218320,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,12,B320888200683,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,12,B461200642855,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,12,B512402380642,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,12,B888642512642,302,Engenharia Civil,7,0,0,1,0,28,2,38
2021,1. Semestre,D320200,13,B200380461148,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,13,B292200218320,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,13,B320888200683,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,13,B461200642855,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,13,B512402380642,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,13,B888642512642,303,Engenharia Elétrica,11,0,0,0,0,28,0,39
2021,1. Semestre,D320200,14,B200380461148,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,14,B292200218320,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,14,B320888200683,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,14,B461200642855,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,14,B512402380642,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,14,B888642512642,304,Engenharia Mecânica,5,0,0,1,0,24,0,30
2021,1. Semestre,D320200,50,B200380461148,302,Engenharia Civil,0,0,0,0,0,1,0,1
2021,1. Semestre,D320200,50,B200380461148,305,Engenharia Química,0,0,0,0,0,10,0,10
2021,1. Semestre,D320200,15,B200380461148,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,15,B292200218320,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,15,B320888200683,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,15,B461200642855,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,15,B512402380642,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,15,B888642512642,315,Curso de Engenharia Aeroespacial,12,0,0,1,0,9,0,22
2021,1. Semestre,D320200,16,B200380461148,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,16,B292200218320,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,16,B320888200683,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,16,B461200642855,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,16,B512402380642,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,16,B888642512642,307,Ciência da Computação - Bacharelado,6,0,0,0,0,15,1,22
2021,1. Semestre,D320200,17,B200380461148,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,17,B292200218320,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,17,B320888200683,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,17,B461200642855,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,17,B512402380642,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,17,B888642512642,310,Curso Engenharia de Controle e Automação,9,0,0,2,0,26,2,39
2021,1. Semestre,D320200,18,B200380461148,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,18,B292200218320,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,18,B320888200683,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,18,B461200642855,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,18,B512402380642,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,18,B888642512642,311,Curso de Engenharia Acústica,7,1,0,1,0,28,4,41
2021,1. Semestre,D320200,19,B200380461148,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D320200,19,B292200218320,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D320200,19,B320888200683,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D320200,19,B461200642855,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D320200,19,B512402380642,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D320200,19,B888642512642,305,Engenharia Química,14,0,0,1,0,21,0,36
2021,1. Semestre,D402855,CC,C946200380402,307,Ciência da Computação - Bacharelado,10,0,0,0,0,14,0,24
2021,1. Semestre,D402855,SI1,C200380893402,314,Bacharelado em Sistemas de Informação,2,0,0,0,0,5,0,7
2021,1. Semestre,D888148,SI1,C320402855200,314,Bacharelado em Sistemas de Informação,1,0,0,0,0,4,0,5
2021,1. Semestre,D888148,CC1,C320402855200,307,Ciência da Computação - Bacharelado,13,2,0,0,0,4,0,19
2021,1. Semestre,D888148,CC2,C380148200685,307,Ciência da Computação - Bacharelado,13,2,0,0,0,3,0,18
2021,1. Semestre,D888148,SI2,C380148200685,314,Bacharelado em Sistemas de Informação,1,0,0,0,0,4,0,5
2021,1. Semestre,D888200,SI1,E681200461218,314,Bacharelado em Sistemas de Informação,1,0,0,0,0,4,0,5
2021,1. Semestre,D888200,CC1,E681200461218,307,Ciência da Computação - Bacharelado,16,2,0,0,0,1,0,19
2021,1. Semestre,D888200,CC2,E978402380148,307,Ciência da Computação - Bacharelado,10,2,0,0,0,6,0,18
2021,1. Semestre,D888200,SI2,E978402380148,314,Bacharelado em Sistemas de Informação,3,0,0,0,0,2,0,5
2021,2. Semestre,D200888,10,P888402148,313,Curso de Engenharia de Produção,2,3,3,0,0,28,0,36
2021,2. Semestre,D200888,11,P394200218,402,Engenharia Florestal,35,0,0,2,0,16,0,53
2021,2. Semestre,D200888,12,P148855320,307,Ciência da Computação - Bacharelado,13,0,0,0,0,30,6,49
2021,2. Semestre,D200888,13,P946200888,302,Engenharia Civil,16,0,1,0,0,30,0,47
2021,2. Semestre,D200888,14,P512200642,305,Engenharia Química,2,0,1,0,0,37,0,40
2021,2. Semestre,D200888,15,P200218642,504,Ciências Econômicas - Noturno,25,0,0,0,0,23,4,52
2021,2. Semestre,D200888,T50REA,P394200218,305,Engenharia Química,17,0,0,0,0,4,0,21
2021,2. Semestre,D320199,10,A148855320200,303,Engenharia Elétrica,2,0,3,1,0,45,1,52
2021,2. Semestre,D320199,10,A380683888642,303,Engenharia Elétrica,2,0,3,1,0,45,1,52
2021,2. Semestre,D320199,10,A512642218320,303,Engenharia Elétrica,2,0,3,1,0,45,1,52
2021,2. Semestre,D320199,10,A855200218200,303,Engenharia Elétrica,2,0,3,1,0,45,1,52
2021,2. Semestre,D320199,10,A893683855461,303,Engenharia Elétrica,2,0,3,1,0,45,1,52
2021,2. Semestre,D320199,11,A148855320200,312,Curso de Engenharia de Computação,5,6,4,1,0,28,0,44
2021,2. Semestre,D320199,11,A380683888642,312,Curso de Engenharia de Computação,5,6,4,1,0,28,0,44
2021,2. Semestre,D320199,11,A512642218320,312,Curso de Engenharia de Computação,5,6,4,1,0,28,0,44
2021,2. Semestre,D320199,11,A855200218200,312,Curso de Engenharia de Computação,5,6,4,1,0,28,0,44
2021,2. Semestre,D320199,11,A893683855461,312,Curso de Engenharia de Computação,5,6,4,1,0,28,0,44
2021,2. Semestre,D320199,12,A148855320200,304,Engenharia Mecânica,1,1,3,1,0,43,0,49
2021,2. Semestre,D320199,12,A380683888642,304,Engenharia Mecânica,1,1,3,1,0,43,0,49
2021,2. Semestre,D320199,12,A512642218320,304,Engenharia Mecânica,1,1,3,1,0,43,0,49
2021,2. Semestre,D320199,12,A855200218200,304,Engenharia Mecânica,1,1,3,1,0,43,0,49
2021,2. Semestre,D320199,12,A893683855461,304,Engenharia Mecânica,1,1,3,1,0,43,0,49
2021,2. Semestre,D320199,13,A888402148380,313,Curso de Engenharia de Produção,30,3,3,1,0,7,0,44
2021,2. Semestre,D320199,14,A148855320200,302,Engenharia Civil,7,0,2,0,0,38,0,47
2021,2. Semestre,D320199,14,A380683888642,302,Engenharia Civil,7,0,2,0,0,38,0,47
2021,2. Semestre,D320199,14,A512642218320,302,Engenharia Civil,7,0,2,0,0,38,0,47
2021,2. Semestre,D320199,14,A855200218200,302,Engenharia Civil,7,0,2,0,0,38,0,47
2021,2. Semestre,D320199,14,A893683855461,302,Engenharia Civil,7,0,2,0,0,38,0,47
2021,2. Semestre,D320199,15,A148855320200,310,Curso Engenharia de Controle e Automação,2,1,3,1,0,27,0,34
2021,2. Semestre,D320199,15,A380683888642,310,Curso Engenharia de Controle e Automação,2,1,3,1,0,27,0,34
2021,2. Semestre,D320199,15,A512642218320,310,Curso Engenharia de Controle e Automação,2,1,3,1,0,27,0,34
2021,2. Semestre,D320199,15,A855200218200,310,Curso Engenharia de Controle e Automação,2,1,3,1,0,27,0,34
2021,2. Semestre,D320199,15,A893683855461,310,Curso Engenharia de Controle e Automação,2,1,3,1,0,27,0,34
2021,2. Semestre,D320199,16,A148855320200,314,Bacharelado em Sistemas de Informação,5,0,3,1,0,24,0,33
2021,2. Semestre,D320199,16,A380683888642,314,Bacharelado em Sistemas de Informação,5,0,3,1,0,24,0,33
2021,2. Semestre,D320199,16,A512642218320,314,Bacharelado em Sistemas de Informação,5,0,3,1,0,24,0,33
2021,2. Semestre,D320199,16,A855200218200,314,Bacharelado em Sistemas de Informação,5,0,3,1,0,24,0,33
2021,2. Semestre,D320199,16,A893683855461,314,Bacharelado em Sistemas de Informação,5,0,3,1,0,24,0,33
2021,2. Semestre,D320199,17,A394200218642,305,Engenharia Química,18,3,2,2,0,7,0,32
2021,2. Semestre,D320199,18,A218148855402,311,Curso de Engenharia Acústica,10,2,0,1,0,26,0,39
2021,2. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,12,0,1,0,0,16,1,30
2021,2. Semestre,D320199,T50REA,A292200218320,305,Engenharia Química,13,0,0,0,0,9,0,22
2021,2. Semestre,D320199,T50REA,A292200218320,315,Curso de Engenharia Aeroespacial,1,0,0,0,0,2,0,3
2021,2. Semestre,D320199,20,A292200218320,309,Curso de Engenharia Sanitária e Ambiental,3,1,1,1,0,27,0,33
2021,2. Semestre,D320200,10,B806642512402,315,Curso de Engenharia Aeroespacial,40,0,0,1,0,8,1,50
2021,2. Semestre,D320200,11,B200380461148,110,Química Industrial,7,0,0,0,0,13,2,22
2021,2. Semestre,D320200,11,B200380461148,133,Química - Bacharelado,2,0,0,2,0,18,1,23
2021,2. Semestre,D320200,11,B292200218320,110,Química Industrial,7,0,0,0,0,13,2,22
2021,2. Semestre,D320200,11,B292200218320,133,Química - Bacharelado,2,0,0,2,0,18,1,23
2021,2. Semestre,D320200,11,B461200642855,110,Química Industrial,7,0,0,0,0,13,2,22
2021,2. Semestre,D320200,11,B461200642855,133,Química - Bacharelado,2,0,0,2,0,18,1,23
2021,2. Semestre,D320200,12,B200380461148,302,Engenharia Civil,14,0,0,0,0,31,0,45
2021,2. Semestre,D320200,12,B292200218320,302,Engenharia Civil,14,0,0,0,0,31,0,45
2021,2. Semestre,D320200,12,B461200642855,302,Engenharia Civil,14,0,0,0,0,31,0,45
2021,2. Semestre,D320200,13,B888642512642,303,Engenharia Elétrica,25,0,0,0,0,20,0,45
2021,2. Semestre,D320200,14,B200380461148,304,Engenharia Mecânica,13,0,0,0,0,24,1,38
2021,2. Semestre,D320200,14,B292200218320,304,Engenharia Mecânica,13,0,0,0,0,24,1,38
2021,2. Semestre,D320200,14,B461200642855,304,Engenharia Mecânica,13,0,0,0,0,24,1,38
2021,2. Semestre,D320200,15,B806642512402,109,Química - Licenciatura,18,0,0,0,0,10,1,29
2021,2. Semestre,D320200,16,B200380461148,316,Curso de Engenharia de Telecomunicações,12,0,0,1,0,32,4,49
2021,2. Semestre,D320200,16,B292200218320,316,Curso de Engenharia de Telecomunicações,12,0,0,1,0,32,4,49
2021,2. Semestre,D320200,16,B461200642855,316,Curso de Engenharia de Telecomunicações,12,0,0,1,0,32,4,49
2021,2. Semestre,D320200,17,B888642512642,305,Engenharia Química,25,0,0,0,0,13,1,39
2021,2. Semestre,D320200,T50REA,B200380461148,305,Engenharia Química,2,0,0,0,0,0,0,2
2021,2. Semestre,D320200,T50REA,B200380461148,313,Curso de Engenharia de Produção,9,0,0,2,0,11,1,23
2021,2. Semestre,D320200,T50REA,B200380461148,315,Curso de Engenharia Aeroespacial,0,0,0,0,0,2,0,2
2021,2. Semestre,D402855,CC,C292200218642,307,Ciência da Computação - Bacharelado,6,0,0,0,0,6,1,13
2021,2. Semestre,D402855,SI,C402380642148,314,Bacharelado em Sistemas de Informação,23,0,0,0,0,10,0,33
2021,2. Semestre,D888148,10,C380148380200,304,Engenharia Mecânica,12,1,1,1,0,10,0,25
2021,2. Semestre,D888148,11,C380148380200,304,Engenharia Mecânica,2,0,0,0,0,1,0,3
2021,2. Semestre,D888148,SI1,C380148200685,314,Bacharelado em Sistemas de Informação,9,2,2,1,0,8,0,22
2021,2. Semestre,D888148,CC1,C380148200685,307,Ciência da Computação - Bacharelado,2,0,0,0,0,3,0,5
2021,2. Semestre,D888148,CC2,C218200683888,307,Ciência da Computação - Bacharelado,1,0,0,0,0,4,0,5
2021,2. Semestre,D888148,SI2,C218200683888,314,Bacharelado em Sistemas de Informação,10,1,1,0,0,6,0,18
2021,2. Semestre,D888200,SI1,E978402380148,314,Bacharelado em Sistemas de Informação,10,2,0,1,0,10,0,23
2021,2. Semestre,D888200,CC1,E978402380148,307,Ciência da Computação - Bacharelado,2,0,0,0,0,2,1,5
2021,2. Semestre,D888200,CC2,E681200461218,307,Ciência da Computação - Bacharelado,2,0,0,0,0,2,1,5
2021,2. Semestre,D888200,SI2,E681200461218,314,Bacharelado em Sistemas de Informação,2,1,0,0,0,14,0,17
2022,1. Semestre,D200888,10,P512200642,123,Física - Bacharelado,5,0,0,0,5,3,1,14
2022,1. Semestre,D200888,11,P512200642,402,Engenharia Florestal,1,0,0,3,23,4,0,31
2022,1. Semestre,D200888,12,P148855320,110,Química Industrial,1,0,0,0,0,3,3,7
2022,1. Semestre,D200888,12,P148855320,133,Química - Bacharelado,0,0,0,0,0,12,0,12
2022,1. Semestre,D200888,13,P855200218,302,Engenharia Civil,15,1,3,0,9,18,0,46
2022,1. Semestre,D200888,14,P855200218,305,Engenharia Química,10,0,0,0,14,21,0,45
2022,1. Semestre,D200888,50,P512200642,313,Curso de Engenharia de Produção,0,0,0,0,0,12,1,13
2022,1. Semestre,D200888,15,P681200683,139,Curso de Bacharelado em Estatística - Noturno,6,0,1,0,10,0,0,17
2022,1. Semestre,D200888,16,P512200642,521,Ciências Econômicas - Diurno,2,0,0,0,28,13,0,43
2022,1. Semestre,D320199,10,A380683888642,303,Engenharia Elétrica,9,2,1,1,13,25,1,52
2022,1. Semestre,D320199,11,A681200461218,110,Química Industrial,3,1,0,0,3,12,2,21
2022,1. Semestre,D320199,11,A681200461218,133,Química - Bacharelado,1,2,0,0,5,10,2,20
2022,1. Semestre,D320199,12,AP681402512218,304,Engenharia Mecânica,20,2,0,0,0,21,0,43
2022,1. Semestre,D320199,13,A946200380642,307,Ciência da Computação - Bacharelado,21,1,1,0,9,14,0,46
2022,1. Semestre,D320199,14,A380200380642,302,Engenharia Civil,40,1,1,0,3,4,0,49
2022,1. Semestre,D320199,50,A380200380642,303,Engenharia Elétrica,2,0,0,0,0,18,1,21
2022,1. Semestre,D320199,50,A380200380642,305,Engenharia Química,0,0,0,0,0,1,0,1
2022,1. Semestre,D320199,50,A380200380642,311,Curso de Engenharia Acústica,0,0,0,0,0,1,0,1
2022,1. Semestre,D320199,15,A642946200380,315,Curso de Engenharia Aeroespacial,28,6,2,0,5,11,1,53
2022,1. Semestre,D320199,16,A888402148380,316,Curso de Engenharia de Telecomunicações,4,9,1,2,9,26,0,51
2022,1. Semestre,D320199,16,AP681402512218,316,Curso de Engenharia de Telecomunicações,4,9,1,2,9,26,0,51
2022,1. Semestre,D320199,17,A218148855402,305,Engenharia Química,23,1,1,0,5,9,0,39
2022,1. Semestre,D320199,17,AP681402512218,305,Engenharia Química,23,1,1,0,5,9,0,39
2022,1. Semestre,D320199,18,AP806642512402,109,Química - Licenciatura,10,2,0,0,0,21,0,33
2022,1. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,13,3,0,0,8,12,1,37
2022,1. Semestre,D320199,20,AP806642512402,123,Física - Bacharelado,17,0,0,1,0,12,0,30
2022,1. Semestre,D320200,10,B888642512642,309,Curso de Engenharia Sanitária e Ambiental,5,0,0,1,6,2,1,15
2022,1. Semestre,D320200,11,B292200218320,312,Curso de Engenharia de Computação,7,0,0,0,17,6,2,32
2022,1. Semestre,D320200,12,B200380512402,302,Engenharia Civil,44,0,0,1,0,4,0,49
2022,1. Semestre,D320200,12,B380148200148,302,Engenharia Civil,44,0,0,1,0,4,0,49
2022,1. Semestre,D320200,13,B461200642855,303,Engenharia Elétrica,6,0,0,1,10,9,2,28
2022,1. Semestre,D320200,14,B380148200148,304,Engenharia Mecânica,40,0,0,0,0,5,0,45
2022,1. Semestre,D320200,14,B380148200148,305,Engenharia Química,39,0,0,1,0,6,0,46
2022,1. Semestre,D320200,50,B888642512642,110,Química Industrial,0,0,0,0,0,3,1,4
2022,1. Semestre,D320200,15,B292200218320,313,Curso de Engenharia de Produção,2,0,0,1,6,2,0,11
2022,1. Semestre,D320200,16,B461200642855,307,Ciência da Computação - Bacharelado,19,0,0,0,3,2,9,33
2022,1. Semestre,D320200,17,B888642512642,310,Curso Engenharia de Controle e Automação,10,0,0,0,10,11,2,33
2022,1. Semestre,D320200,18,B512402380642,311,Curso de Engenharia Acústica,5,0,0,2,0,21,1,29
2022,1. Semestre,D402855,CC,C292200218642,307,Ciência da Computação - Bacharelado,26,0,0,0,0,1,0,27
2022,1. Semestre,D402855,CC,C888148218402,307,Ciência da Computação - Bacharelado,26,0,0,0,0,1,0,27
2022,1. Semestre,D402855,SI1,E380148200148,314,Bacharelado em Sistemas de Informação,3,0,0,0,0,0,0,3
2022,1. Semestre,D402855,SI1,I200380893402,314,Bacharelado em Sistemas de Informação,3,0,0,0,0,0,0,3
2022,1. Semestre,D888148,10,C380148380200,304,Engenharia Mecânica,17,2,0,0,6,5,0,30
2022,1. Semestre,D888148,11,C380148380200,304,Engenharia Mecânica,4,0,0,0,7,6,0,17
2022,1. Semestre,D888148,SI1,C320402855200,314,Bacharelado em Sistemas de Informação,1,0,0,0,4,4,1,10
2022,1. Semestre,D888148,CC1,C320402855200,307,Ciência da Computação - Bacharelado,14,1,0,0,4,6,0,25
2022,1. Semestre,D888148,CC2,C380148200685,307,Ciência da Computação - Bacharelado,9,0,0,0,0,5,1,15
2022,1. Semestre,D888148,SI2,C380148200685,314,Bacharelado em Sistemas de Informação,2,0,0,0,0,2,0,4
2022,1. Semestre,D888200,SI1,E681200461218,314,Bacharelado em Sistemas de Informação,0,0,0,0,0,1,0,1
2022,1. Semestre,D888200,CC1,E681200461218,307,Ciência da Computação - Bacharelado,13,0,0,0,0,2,0,15
2022,1. Semestre,D888200,CC2,E978402380148,307,Ciência da Computação - Bacharelado,16,1,0,0,1,5,1,24
2022,1. Semestre,D888200,SI2,E978402380148,314,Bacharelado em Sistemas de Informação,2,0,0,0,1,0,0,3
2022,2. Semestre,D200888,10,P888683320,504,Ciências Econômicas - Noturno,12,1,0,0,24,5,0,42
2022,2. Semestre,D200888,11,P855200380,402,Engenharia Florestal,4,0,0,3,27,3,0,37
2022,2. Semestre,D200888,11,P893683855,402,Engenharia Florestal,4,0,0,3,27,3,0,37
2022,2. Semestre,D200888,12,J0000001111,307,Ciência da Computação - Bacharelado,14,0,0,0,12,12,0,38
